#Reg ID X(")    Y(")    LogAge  [Fe/H]VI        logg    E(B-V)  V       eV      VI      eVI     RA(deg) Dec(deg)
6 6055 -1175.52002 -501.72198 9.00000 -1.70702 1.37564 0.02967 22.806 0.016 1.102 0.018 0.15308 -15.59994
6 8626 -999.28802 -627.23798 10.30000 -3.01984 0.79603 0.02964 22.599 0.014 1.209 0.016 0.20383 -15.63489
6 10386 -931.09399 -601.41101 10.15000 -1.40409 0.37847 0.02962 22.808 0.007 1.435 0.010 0.22350 -15.62772
6 14171 -796.21698 -87.60100 9.75000 -1.46698 1.01914 0.03211 22.979 0.007 1.248 0.011 0.26258 -15.48506
6 15814 -744.53302 508.00400 10.15000 -1.99661 0.56105 0.03370 22.487 0.014 1.425 0.016 0.27767 -15.31961
6 21225 -582.85101 768.29303 10.30000 -4.02648 0.97410 0.03263 22.773 0.006 1.097 0.018 0.32429 -15.24736
6 25612 -462.60101 -595.34198 9.90000 -1.97500 0.89358 0.03017 22.740 0.005 1.261 0.011 0.35867 -15.62617
6 27564 -410.23801 -225.05800 10.30000 -1.74202 0.87535 0.03449 23.081 0.008 1.271 0.012 0.37383 -15.52330
6 28240 -392.95099 -293.10800 10.25000 -1.75186 0.91400 0.03410 23.091 0.007 1.256 0.009 0.37879 -15.54222
6 30188 -344.38599 85.67500 9.75000 -1.39682 0.26212 0.03366 22.528 0.010 1.522 0.013 0.39283 -15.43700
6 32389 -291.23001 -376.54199 10.10000 -1.73593 0.83721 0.03311 22.898 0.005 1.297 0.008 0.40813 -15.56542
6 33444 -267.95200 -28.23100 10.20000 -1.49364 0.73218 0.03506 22.996 0.005 1.374 0.008 0.41488 -15.46867
6 33657 -263.58600 -18.70100 10.25000 -1.49843 0.65602 0.03506 22.853 0.005 1.384 0.007 0.41612 -15.46603
6 33749 -261.73801 157.63400 10.25000 -1.49934 0.58633 0.03333 22.766 0.007 1.423 0.009 0.41667 -15.41703
6 34036 -255.79800 -259.47000 10.00000 -1.98136 0.75984 0.03527 22.635 0.006 1.324 0.008 0.41833 -15.53289
6 34902 -239.69200 177.48399 10.30000 -1.50456 0.70817 0.03303 22.927 0.009 1.358 0.011 0.42300 -15.41153
6 35170 -235.20500 227.20900 9.90000 -1.47245 0.71627 0.03303 22.697 0.009 1.377 0.010 0.42433 -15.39772
6 36001 -221.21201 -55.35500 10.10000 -1.65488 0.30107 0.03690 22.550 0.006 1.481 0.008 0.42833 -15.47619
6 36247 -217.33800 367.17200 9.95000 -1.97783 0.72515 0.03210 22.549 0.008 1.339 0.009 0.42946 -15.35883
6 36463 -213.67300 -135.71700 10.20000 -1.49364 0.65356 0.03632 22.826 0.006 1.389 0.009 0.43050 -15.49853
6 36601 -211.69901 -74.82500 9.85000 -1.97356 1.11859 0.03711 23.052 0.005 1.180 0.009 0.43108 -15.48161
6 36765 -209.30000 -66.86300 9.85000 -1.90020 0.78689 0.03711 22.892 0.006 1.416 0.008 0.43175 -15.47939
6 36950 -206.17799 -25.62100 9.95000 -1.47605 0.52655 0.03690 22.544 0.006 1.486 0.008 0.43267 -15.46794
6 37080 -204.07300 -41.96000 10.00000 -1.47797 0.86920 0.03690 22.978 0.004 1.309 0.007 0.43325 -15.47247
6 37164 -202.74200 287.98999 10.15000 -1.48894 0.53015 0.03260 22.645 0.007 1.451 0.008 0.43367 -15.38083
6 37389 -199.78200 69.96300 9.90000 -1.72390 0.61653 0.03537 22.468 0.007 1.410 0.009 0.43450 -15.44139
6 38437 -184.75200 596.52698 9.85000 -1.47026 0.78848 0.03028 22.755 0.009 1.342 0.013 0.43888 -15.29514
6 38538 -183.39200 -129.96800 9.80000 -1.46830 0.63068 0.05519 22.619 0.004 1.442 0.007 0.43921 -15.49692
6 39052 -176.19800 115.46300 10.15000 -1.74021 0.59089 0.03457 22.610 0.005 1.415 0.008 0.44129 -15.42875
6 39548 -169.34599 111.59400 10.05000 -1.73317 0.89945 0.03457 22.961 0.006 1.280 0.009 0.44329 -15.42983
6 40191 -161.82899 199.98500 9.85000 -1.47026 0.61393 0.03311 22.533 0.004 1.424 0.007 0.44546 -15.40528
6 40293 -160.67400 90.81900 8.75000 -1.46515 1.40103 0.17537 23.012 0.004 1.279 0.007 0.44579 -15.43561
6 41834 -145.31599 137.85001 10.15000 -1.90471 0.48197 0.03457 22.751 0.006 1.387 0.009 0.45021 -15.42253
6 42108 -142.74100 36.99200 10.00000 -1.98164 1.06943 0.03646 23.088 0.007 1.193 0.011 0.45096 -15.45056
6 42153 -142.33501 188.82001 10.05000 -1.73470 0.90699 0.03311 23.016 0.009 1.300 0.011 0.45108 -15.40839
6 42294 -141.24001 54.03400 9.90000 -1.90122 0.50149 0.03646 22.490 0.007 1.538 0.008 0.45138 -15.44583
6 42412 -140.05299 24.00800 10.05000 -1.73436 0.88983 0.03646 22.969 0.004 1.295 0.007 0.45171 -15.45417
6 42897 -135.58299 67.67200 9.95000 -1.97975 1.04679 0.03646 23.069 0.007 1.231 0.010 0.45300 -15.44203
6 43212 -132.86400 25.71300 10.15000 -1.90495 0.23477 0.03646 22.465 0.008 1.493 0.010 0.45379 -15.45369
6 43245 -132.55800 -14.63800 10.30000 -1.50469 0.69403 0.03780 22.931 0.006 1.371 0.008 0.45388 -15.46489
6 43287 -132.14101 -64.46500 10.25000 -1.65653 0.39243 0.03744 22.606 0.004 1.408 0.007 0.45400 -15.47875
6 43376 -131.50500 478.34698 10.25000 -1.75304 0.63027 0.03145 22.762 0.005 1.412 0.006 0.45421 -15.32794
6 44137 -125.69100 -16.43500 10.15000 -1.65564 0.29190 0.03780 22.629 0.009 1.494 0.010 0.45588 -15.46539
6 44163 -125.47900 -36.57600 10.15000 -1.74073 0.79745 0.03780 22.897 0.006 1.325 0.008 0.45592 -15.47100
6 44178 -125.31000 36.12300 10.25000 -1.49934 0.81466 0.03646 23.072 0.009 1.324 0.014 0.45596 -15.45081
6 44248 -124.86900 -160.05499 9.50000 -1.71198 1.28161 0.03739 23.097 0.008 1.144 0.010 0.45608 -15.50528
6 44366 -124.08900 14.52800 9.85000 -1.47044 0.85130 0.03780 22.841 0.014 1.324 0.022 0.45633 -15.45681
6 44594 -122.51200 76.54300 10.20000 -1.49364 0.73837 0.03646 22.935 0.005 1.352 0.008 0.45679 -15.43956
6 44684 -121.87300 36.77600 10.05000 -1.73339 0.84131 0.03646 22.874 0.008 1.305 0.012 0.45696 -15.45061
6 44740 -121.51200 -37.57700 10.05000 -1.48221 0.45418 0.03780 22.544 0.006 1.525 0.007 0.45704 -15.47128
6 44839 -120.91000 -86.68400 9.80000 -1.46848 0.85535 0.06744 22.911 0.009 1.358 0.010 0.45725 -15.48492
6 44959 -120.23500 -37.96900 9.90000 -1.90118 0.72144 0.03780 22.765 0.005 1.422 0.006 0.45742 -15.47139
6 45243 -118.55600 332.17300 10.15000 -1.99513 0.96869 0.03269 23.021 0.010 1.219 0.012 0.45792 -15.36856
6 45969 -114.29200 307.16501 10.20000 -1.99869 0.90834 0.03362 22.977 0.007 1.245 0.010 0.45917 -15.37550
6 46350 -112.20900 -331.27399 9.90000 -1.90118 0.84320 0.03406 22.915 0.006 1.358 0.008 0.45975 -15.55286
6 46495 -111.31500 -92.85700 9.80000 -1.71977 0.80338 0.05744 22.713 0.009 1.349 0.010 0.46000 -15.48661
6 46506 -111.25500 211.58099 10.05000 -1.73311 0.78040 0.07366 22.920 0.006 1.381 0.009 0.46004 -15.40205
6 46532 -111.09700 -250.14301 10.10000 -1.73598 0.93954 0.03519 23.058 0.009 1.255 0.010 0.46004 -15.53030
6 46711 -110.13000 -32.72900 10.30000 -1.40865 0.47864 0.03780 22.764 0.006 1.374 0.008 0.46033 -15.46992
6 46841 -109.42800 -10.11700 9.75000 -1.46800 0.97404 0.03780 22.985 0.007 1.289 0.008 0.46054 -15.46364
6 46851 -109.38100 178.41200 10.20000 -1.65733 0.61341 0.03366 22.751 0.003 1.418 0.006 0.46058 -15.41128
6 47166 -107.53500 245.43900 10.20000 -1.74763 0.84896 0.03362 23.047 0.005 1.321 0.008 0.46108 -15.39267
6 47168 -107.52900 129.18401 9.80000 -1.46848 0.99062 0.03574 22.993 0.005 1.261 0.009 0.46108 -15.42494
6 47245 -107.16000 -42.15400 10.05000 -1.73457 0.78588 0.03780 22.856 0.008 1.351 0.009 0.46121 -15.47253
6 47375 -106.43000 -45.37200 9.75000 -1.46706 1.07700 0.03780 23.086 0.010 1.235 0.012 0.46142 -15.47344
6 47559 -105.49500 7.62300 10.25000 -1.49931 0.62792 0.03780 22.832 0.007 1.409 0.009 0.46167 -15.45872
6 47824 -104.16600 -131.78999 10.05000 -1.48135 0.86498 0.03744 23.009 0.008 1.313 0.011 0.46204 -15.49745
6 48145 -102.44400 -303.11301 10.10000 -1.48497 0.84965 0.05519 23.079 0.012 1.341 0.015 0.46254 -15.54503
6 48766 -99.39000 -187.09900 9.65000 -1.46534 1.11040 0.03739 23.104 0.008 1.241 0.012 0.46342 -15.51281
6 48873 -98.85300 155.91800 10.30000 -1.65390 0.44598 0.03574 22.861 0.005 1.396 0.007 0.46358 -15.41753
6 48911 -98.70800 77.90600 9.95000 -1.47500 0.58245 0.03646 22.579 0.015 1.441 0.017 0.46363 -15.43919
6 49004 -98.21700 -93.88600 10.20000 -1.90615 0.34636 0.03744 22.528 0.004 1.423 0.006 0.46379 -15.48692
6 49337 -96.64700 -154.21300 10.30000 -1.75923 0.76259 0.03739 22.999 0.007 1.359 0.010 0.46421 -15.50367
