#Reg ID	X(")	Y(")	LogAge	[Fe/H]VI	logg	E(B-V)	V	eV	VI	eVI	RA(deg)	Dec(deg)
6 7926 -1032.65002 518.05200 9.50000 -1.21028 1.02198 0.03246 22.878 0.011 1.270 0.013 0.19467 -15.31672
6 32387 -291.23300 348.90100 9.70000 -1.21391 0.68857 0.03236 22.658 0.005 1.418 0.007 0.40817 -15.36389
6 33266 -271.59399 -232.36700 9.90000 -1.22052 0.72325 0.03527 22.856 0.005 1.404 0.008 0.41379 -15.52536
6 33382 -269.10999 33.15300 9.60000 -1.14405 0.34067 0.03508 22.554 0.005 1.511 0.007 0.41454 -15.45161
6 33779 -261.19901 -93.39800 9.65000 -1.21271 0.70041 0.03583 22.623 0.004 1.420 0.006 0.41679 -15.48678
6 34369 -249.13901 0.24100 9.75000 -1.21622 0.78743 0.03506 22.848 0.005 1.398 0.008 0.42029 -15.46075
6 35637 -227.67000 88.70700 9.10000 -1.20878 1.35861 0.03537 23.078 0.012 1.169 0.015 0.42646 -15.43619
6 35810 -224.58400 131.33501 9.45000 -1.21090 1.09362 0.03457 23.001 0.007 1.266 0.011 0.42738 -15.42433
6 36080 -219.92999 -142.31400 9.80000 -1.21791 0.86122 0.03632 22.991 0.004 1.368 0.008 0.42867 -15.50036
6 36395 -215.03300 155.38000 9.95000 -1.22294 0.72834 0.03457 22.897 0.009 1.400 0.012 0.43013 -15.41767
6 36925 -206.62300 80.07900 8.15000 0.32977 1.64620 0.03537 23.072 0.008 1.331 0.010 0.43254 -15.43858
6 37123 -203.38100 -175.54201 9.55000 -0.95976 0.69855 0.03632 22.694 0.006 1.468 0.009 0.43346 -15.50958
6 37385 -199.82001 209.16100 9.05000 -0.45646 1.06747 0.03311 22.916 0.005 1.414 0.009 0.43450 -15.40272
6 37396 -199.67101 -0.08100 9.50000 -0.96033 1.03158 0.03690 23.113 0.010 1.337 0.012 0.43454 -15.46086
6 37478 -198.52400 -101.70900 9.85000 -1.21851 0.70906 0.03711 22.812 0.009 1.417 0.012 0.43488 -15.48908
6 37862 -193.20799 -36.77200 8.00000 0.31305 1.61142 0.03690 22.967 0.006 1.359 0.008 0.43642 -15.47103
6 38315 -186.64200 -234.30299 9.30000 -1.20953 1.11784 0.03548 22.841 0.008 1.233 0.010 0.43829 -15.52592
6 38406 -185.23199 -50.33000 8.90000 -0.45446 1.09859 0.03690 22.773 0.007 1.386 0.009 0.43871 -15.47480
6 38989 -176.90900 154.84100 9.45000 -0.95924 0.60546 0.03457 22.503 0.007 1.512 0.008 0.44113 -15.41781
6 39713 -167.34399 284.64499 8.90000 -0.45449 1.28642 0.03260 22.989 0.007 1.297 0.009 0.44388 -15.38175
6 40018 -163.66600 -695.00500 9.15000 -0.70769 0.82962 0.03155 22.693 0.013 1.472 0.016 0.44488 -15.65389
6 40058 -163.32201 -121.30700 9.65000 -0.96112 0.79333 0.03711 22.891 0.006 1.423 0.008 0.44500 -15.49453
6 40073 -163.14200 -533.81598 8.70000 -0.19788 1.34223 0.03179 22.996 0.006 1.337 0.011 0.44504 -15.60911
6 40178 -162.00101 425.76199 9.70000 -1.21391 0.61627 0.03178 22.570 0.010 1.450 0.011 0.44542 -15.34256
6 40226 -161.50700 -65.53400 9.90000 -1.22060 0.71684 0.03711 22.848 0.005 1.413 0.008 0.44554 -15.47903
6 40336 -160.12801 118.76800 9.05000 -0.70915 1.29111 0.03457 23.035 0.005 1.251 0.009 0.44596 -15.42783
6 40457 -158.83900 -16.42400 8.65000 -0.71163 1.15387 0.16690 22.789 0.005 1.436 0.007 0.44629 -15.46539
6 40519 -158.27299 -19.29500 10.15000 -0.98430 0.30450 0.16690 22.431 0.005 1.497 0.006 0.44646 -15.46619
6 40814 -155.14101 -311.65201 9.35000 -0.95915 1.16513 0.03398 23.080 0.008 1.254 0.010 0.44733 -15.54739
6 40930 -153.94000 34.59600 10.25000 -1.24612 0.68160 0.03537 23.022 0.009 1.388 0.010 0.44771 -15.45122
6 41130 -152.21400 696.70697 9.80000 -1.21703 0.88862 0.02982 22.943 0.013 1.324 0.016 0.44825 -15.26731
6 41860 -145.16701 -63.71300 10.00000 -1.22558 0.75070 0.03744 22.957 0.006 1.387 0.008 0.45025 -15.47853
